"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,           0,      -24.06565384,      -24.06565384,               -32,      -18.19331708
          0,           0,           1,      -9.087740655,      -2.385404118,      -9.070706838,      -8.039945465
          0,           0,           2,      -8.877894872,      -2.849834321,      -9.151928762,      -7.830099682
          0,           0,           3,      -8.674835059,      -3.282496768,       -8.94726621,      -7.627039869
          0,           0,           4,      -8.481848631,      -3.652155936,      -8.707181865,      -7.434053442
          0,           0,           5,      -8.213098293,      -4.004072552,      -8.239595158,      -7.165303103
          0,           0,           6,      -7.878755782,       -4.37897963,       -7.77142849,      -6.830960592
          0,           0,           7,      -7.549573108,      -4.811220428,      -7.359113591,      -6.501777918
          0,           0,           8,      -7.236918449,       -5.31766435,      -7.002543424,       -6.18912326
          0,           0,           9,      -6.921213722,      -5.840334668,      -6.657524042,      -5.873418533
          0,           0,          10,      -6.635000164,      -6.232416617,      -6.355169565,      -5.587204974
          0,           0,          11,      -6.462274739,      -6.386921096,      -6.171691958,       -5.41447955
          0,           0,          12,      -6.435142591,      -6.432114738,      -6.132171938,      -5.387347401
          0,           0,          13,      -6.535503804,      -6.546819274,      -6.213197203,      -5.487708615
          0,           0,          14,      -6.667226689,      -6.659417431,      -6.312820177,      -5.619431499
          0,           0,          15,      -6.715512423,      -6.671819979,      -6.342516792,      -5.667717233
          0,           0,          16,      -6.719496018,      -6.665277245,      -6.344831256,      -5.671700829
          0,           0,          17,      -6.727101367,      -6.674687545,      -6.354438139,      -5.679306178
          0,           0,          18,      -6.748814676,      -6.696749196,      -6.378904635,      -5.701019486
          0,           0,          19,       -6.77950741,      -6.725647998,       -6.41223623,       -5.73171222
          0,           0,          20,      -6.815396529,       -6.76012619,      -6.449879494,       -5.76760134
          0,           0,          21,       -6.85596098,      -6.801033012,       -6.49109652,       -5.80816579
          0,           0,          22,      -6.902097555,      -6.849164311,      -6.536849331,      -5.854302365
          0,           0,          23,      -6.954388965,      -6.904393105,      -6.587902115,      -5.906593776
          0,           0,          24,      -7.013131592,      -6.966147008,      -6.644731218,      -5.965336403
          0,           0,          25,      -7.078404362,      -7.033664205,      -6.707596266,      -6.030609172
          0,           0,          26,      -7.149925045,      -7.105796154,      -6.776448414,      -6.102129856
          0,           0,          27,      -7.227443636,      -7.181223982,      -6.851309401,      -6.179648447
          0,           0,          28,      -7.310842097,      -7.258495421,      -6.932315826,      -6.263046908
          0,           0,          29,      -7.399892524,      -7.335953603,      -7.019499226,      -6.352097335
          0,           0,          30,      -7.494094152,      -7.411842696,       -7.11266854,      -6.446298962
          0,           0,          31,       -7.59237079,      -7.484651209,      -7.211219458,      -6.544575601
          0,           0,          32,      -7.692513112,      -7.553380857,      -7.313654362,      -6.644717922
          0,           0,          33,      -7.790641995,      -7.617017808,      -7.416999625,      -6.742846805
          0,           0,          34,      -7.881094406,      -7.676009803,      -7.516088135,      -6.833299216
          0,           0,          35,      -7.957515455,      -7.731188696,      -7.603565209,      -6.909720265
          0,           0,          36,       -8.01586692,      -7.782828837,      -7.672328866,       -6.96807173
          0,           0,          37,      -8.057051205,      -7.831939561,       -7.72007029,      -7.009256015
          0,           0,          38,      -8.086307827,      -7.879056516,      -7.751187761,      -7.038512638
          0,           0,          39,      -8.110013146,      -7.924706821,      -7.773533959,      -7.062217957
          0,           0,          40,       -8.13332209,       -7.96971512,      -7.794109021,      -7.085526901
          0,           0,          41,      -8.159594916,       -8.01509625,      -7.817433542,      -7.111799726
          0,           0,          42,      -8.190714185,      -8.061881467,      -7.845883995,      -7.142918996
          0,           0,          43,      -8.227572954,      -8.110942428,      -7.880476494,      -7.179777764
          0,           0,          44,      -8.270479492,      -8.162877835,      -7.921492164,      -7.222684302
          0,           0,          45,      -8.319404407,      -8.217973906,      -7.968850159,      -7.271609217
          0,           0,          46,       -8.37410896,      -8.276201725,      -8.022293763,      -7.326313771
          0,           0,          47,      -8.434216871,      -8.337251054,      -8.081483881,      -7.386421682
          0,           0,          48,      -8.499242608,      -8.400578234,      -8.146035571,      -7.451447418
          0,           0,          49,      -8.568555911,      -8.465442156,      -8.215476969,      -7.520760721
          0,           0,          50,      -8.641356135,      -8.530990306,      -8.289207728,      -7.593560946
          0,           0,          51,      -8.716619589,      -8.596349968,      -8.366419301,        -7.6688244
          0,           0,          52,      -8.793056492,      -8.660730422,      -8.445988687,      -7.745261302
          0,           0,          53,      -8.869081776,      -8.723527455,      -8.526372246,      -7.821286586
          0,           0,          54,      -8.942917505,      -8.784380181,      -8.605576266,      -7.895122315
          0,           0,          55,       -9.01281079,      -8.843182428,      -8.681280182,        -7.9650156
          0,           0,          56,      -9.077347753,      -8.900036432,      -8.751209371,      -8.029552564
          0,           0,          57,      -9.135852345,      -8.955173494,      -8.813756824,      -8.088057156
          0,           0,          58,      -9.188564921,      -9.008912208,      -8.868566872,      -8.140769732
          0,           0,          59,      -9.236561555,      -9.061618353,      -8.916674919,      -8.188766365
          0,           0,          60,       -9.28144684,       -9.11369491,      -8.960105651,       -8.23365165
          0,           0,          61,      -9.324945307,      -9.165591398,      -9.001224898,      -8.277150117
          0,           0,          62,      -9.368660135,      -9.217772645,      -9.042190774,      -8.320864945
          0,           0,          63,       -9.41385503,      -9.270690447,      -9.084669951,       -8.36605984
          0,           0,          64,      -9.461435124,      -9.324727074,      -9.129810544,      -8.413639935
          0,           0,          65,      -9.511992391,      -9.380139499,      -9.178304107,      -8.464197202
          0,           0,          66,      -9.565745815,      -9.437032679,      -9.230459034,      -8.517950625
          0,           0,          67,      -9.622678171,      -9.495333219,      -9.286293116,      -8.574882981
          0,           0,          68,      -9.682530858,      -9.554833824,      -9.345598097,      -8.634735669
          0,           0,          69,      -9.744779464,      -9.615197987,      -9.407941036,      -8.696984275
          0,           0,          70,      -9.808776078,      -9.676011952,      -9.472687015,      -8.760980888
          0,           0,          71,      -9.873665334,      -9.736867183,      -9.539038201,      -8.825870145
          0,           0,          72,       -9.93855588,      -9.797345783,      -9.606039302,      -8.890760691
          0,           0,          73,      -10.00257748,      -9.857122378,      -9.672649862,      -8.954782293
          0,           0,          74,      -10.06493489,      -9.915967891,      -9.737902494,      -9.017139702
          0,           0,          75,      -10.12528939,      -9.973773834,      -9.801051041,      -9.077494196
          0,           0,          76,      -10.18345288,       -10.0306227,      -9.861680324,      -9.135657693
          0,           0,          77,      -10.23966145,      -10.08664217,      -9.919791708,      -9.191866262
          0,           0,          78,      -10.29450519,       -10.1421134,       -9.97577255,      -9.246709998
          0,           0,          79,      -10.34839753,      -10.19734869,      -10.03022251,      -9.300602336
          0,           0,          80,      -10.40206248,      -10.25255549,      -10.08379868,      -9.354267291
          0,           0,          81,      -10.45586901,      -10.30802601,      -10.13714052,      -9.408073825
          0,           0,          82,      -10.51004963,      -10.36382555,      -10.19072711,      -9.462254438
          0,           0,          83,      -10.56490674,      -10.41999599,      -10.24482463,      -9.517111554
          0,           0,          84,      -10.62011242,      -10.47659886,      -10.29958269,      -9.572317226
          0,           0,          85,       -10.6758326,      -10.53345472,      -10.35500212,       -9.62803741
          0,           0,          86,       -10.7317332,      -10.59060853,      -10.41091673,      -9.683938013
          0,           0,          87,      -10.78739583,      -10.64789643,      -10.46715227,      -9.739600636
          0,           0,          88,      -10.84317211,      -10.70519044,      -10.52355873,      -9.795376921
          0,           0,          89,      -10.89831362,      -10.76259473,      -10.57997742,       -9.85051843
          0,           0,          90,      -10.95321648,      -10.81977893,      -10.63635994,      -9.905421288
          0,           0,          91,      -11.00806565,      -10.87695842,      -10.69282452,      -9.960270463
          0,           0,          92,      -11.06241158,      -10.93411656,      -10.74952812,      -10.01461639
          0,           0,          93,      -11.11742347,      -10.99107028,      -10.80662229,      -10.06962828
          0,           0,          94,      -11.17228205,      -11.04830796,      -10.86432351,      -10.12448686
          0,           0,          95,      -11.22757756,      -11.10541311,      -10.92277112,      -10.17978237
          0,           0,          96,      -11.28366965,      -11.16266328,      -10.98188829,      -10.23587446
          0,           0,          97,      -11.33895462,      -11.22012954,       -11.0415683,      -10.29115943
          0,           0,          98,      -11.39519629,       -11.2772095,      -11.10164504,       -10.3474011
          0,           0,          99,      -11.45035387,      -11.33464163,      -11.16169007,      -10.40255869
          0,           0,         100,      -11.50429638,      -11.39151474,      -11.22129031,      -10.45650119
          0,           0,         101,      -11.55839218,      -11.44809794,      -11.28016505,      -10.51059699
          0,           0,         102,      -11.60915417,      -11.50483582,      -11.33790628,      -10.56135898
          0,           0,         103,      -11.65985959,      -11.56035436,      -11.39422575,       -10.6120644
          0,           0,         104,       -11.7085675,      -11.61635061,      -11.44920442,      -10.66077231
          0,           0,         105,      -11.75471911,        -11.671659,      -11.50301179,      -10.70692392
          0,           0,         106,      -11.80219493,      -11.72633633,      -11.55587368,      -10.75439973
          0,           0,         107,      -11.84587608,      -11.78203037,      -11.60835634,      -10.79808089
          0,           0,         108,      -11.89100928,      -11.83616204,      -11.66109907,      -10.84321409
          0,           0,         109,      -11.93597855,      -11.89168522,      -11.71443669,      -10.88818336
          0,           0,         110,      -11.97808541,      -11.94712477,      -11.76876621,      -10.93029022
          0,           0,         111,      -12.02424008,      -12.00157461,      -11.82452942,      -10.97644489
          0,           0,         112,      -12.06616213,      -12.05874169,      -11.88165148,      -11.01836695
          0,           0,         113,      -12.10921706,      -12.11304628,      -11.93991365,      -11.06142187
          0,           0,         114,      -12.15330392,      -12.16908953,      -11.99932636,      -11.10550873
          0,           0,         115,      -12.19164625,      -12.22547111,      -12.05943966,      -11.14385107
          0,           0,         116,        -12.234701,      -12.27794329,      -12.11950839,      -11.18690581
          0,           0,         117,      -12.27201532,      -12.33496876,      -12.17928325,      -11.22422013
          0,           0,         118,      -12.30867389,      -12.38652249,      -12.23837783,       -11.2608787
          0,           0,         119,      -12.34788614,      -12.43894602,      -12.29603773,      -11.30009093
          0,           0,         120,      -12.37882458,      -12.49344332,      -12.35221561,       -11.3310294
          0,           0,         121,       -12.4159511,      -12.53968259,      -12.40723263,      -11.36815592
          0,           0,         122,      -12.44829378,      -12.59426486,      -12.46095769,      -11.40049858
          0,           0,         123,      -12.47855006,      -12.64140146,       -12.5137395,      -11.43075489
          0,           0,         124,      -12.51462679,      -12.68796997,      -12.56650319,      -11.46683159
          0,           0,         125,      -12.54169074,      -12.74200965,      -12.61953143,      -11.49389556
          0,           0,         126,      -12.57534976,      -12.78154644,      -12.67284061,      -11.52755458
          0,           0,         127,      -12.60654097,      -12.83431423,      -12.72718859,      -11.55874576
          0,           0,         128,      -12.63361677,      -12.87962828,      -12.78282902,      -11.58582158
          0,           0,         129,      -12.66861548,      -12.91922002,      -12.83894599,      -11.62082029
          0,           0,         130,      -12.69412833,      -12.97433738,        -12.895813,      -11.64633316
          0,           0,         131,      -12.72520021,      -13.00661828,      -12.95370213,      -11.67740505
          0,           0,         132,      -12.75610087,       -13.0551631,       -13.0111874,      -11.70830567
          0,           0,         133,      -12.78038356,      -13.09873012,      -13.06815489,      -11.73258843
          0,           0,         134,      -12.81406605,       -13.1276007,      -13.12504264,      -11.76627077
          0,           0,         135,      -12.83873835,      -13.18222627,      -13.18070071,      -11.79094322
          0,           0,         136,       -12.8670024,       -13.2065969,      -13.23485731,      -11.81920718
          0,           0,         137,      -12.89796353,      -13.24726008,      -13.28823057,      -11.85016836
          0,           0,         138,       -12.9204551,       -13.2909632,      -13.34098088,      -11.87265989
          0,           0,         139,      -12.95287824,      -13.30888086,      -13.39249604,      -11.90508309
          0,           0,         140,       -12.9778543,      -13.36190375,      -13.44364661,        -11.930059
          0,           0,         141,      -13.00406315,      -13.38296689,      -13.49580276,      -11.95626805
          0,           0,         142,      -13.03558663,      -13.41511844,       -13.5472888,      -11.98779137
          0,           0,         143,      -13.05733055,      -13.46142683,      -13.59878117,       -12.0095355
          0,           0,         144,      -13.08868772,      -13.47170562,      -13.65206497,      -12.04089251
          0,           0,         145,      -13.11468382,      -13.52224236,       -13.7045338,      -12.06688872
          0,           0,         146,      -13.13916038,      -13.54414086,      -13.75645475,      -12.09136521
          0,           0,         147,      -13.17119542,       -13.5677262,      -13.80923031,      -12.12340017
          0,           0,         148,      -13.19282329,      -13.61724601,      -13.86102187,      -12.14502819
          0,           0,         149,        -13.222838,      -13.62279664,       -13.9111685,       -12.1750429
          0,           0,         150,      -13.25005503,      -13.66886694,      -13.96023832,      -12.20225981
          0,           0,         151,        -13.273104,       -13.6946745,      -14.00907238,      -12.22530885
          0,           0,         152,      -13.30532932,      -13.71023075,      -14.05540379,      -12.25753394
          0,           0,         153,      -13.32732899,       -13.7620085,      -14.09979532,      -12.27953398
          0,           0,         154,      -13.35590335,      -13.76648159,      -14.14524219,      -12.30810785
          0,           0,         155,      -13.38443464,      -13.80686344,      -14.18814717,      -12.33663952
          0,           0,         156,      -13.40641404,      -13.83829596,      -14.23002951,       -12.3586189
          0,           0,         157,      -13.43855824,      -13.84743782,      -14.27313685,       -12.3907631
          0,           0,         158,      -13.46140002,      -13.90031682,      -14.31460953,      -12.41360471
          0,           0,         159,      -13.48846062,      -13.90662738,      -14.35556917,      -12.44066523
          0,           0,         160,      -13.51825082,      -13.94051686,      -14.39620641,      -12.47045573
          0,           0,         161,      -13.53957637,      -13.97823356,      -14.43706565,      -12.49178094
          0,           0,         162,      -13.57127423,      -13.98260919,      -14.47603699,      -12.52347914
          0,           0,         163,      -13.59525934,      -14.03478897,      -14.51319044,      -12.54746428
          0,           0,         164,      -13.62081863,      -14.04520299,      -14.55240981,      -12.57302337
          0,           0,         165,      -13.65165051,      -14.07210526,      -14.58777205,       -12.6038553
          0,           0,         166,      -13.67270268,      -14.11555442,      -14.62190225,      -12.62490717
          0,           0,         167,      -13.70362213,       -14.1170692,      -14.65778549,      -12.65582698
          0,           0,         168,      -13.72895496,      -14.16677056,      -14.68976516,      -12.68115977
          0,           0,         169,      -13.75309039,      -14.18281732,      -14.72250973,      -12.70529534
          0,           0,         170,        -13.784682,      -14.20280932,      -14.75438281,      -12.73688701
          0,           0,         171,      -13.80587891,       -14.2509551,      -14.78516763,      -12.75808394
          0,           0,         172,      -13.83572308,      -14.25157107,      -14.81700847,      -12.78792744
          0,           0,         173,      -13.86250729,      -14.29719075,      -14.84601719,      -12.81471179
          0,           0,         174,      -13.88541551,      -14.31991774,       -14.8774871,      -12.83762018
          0,           0,         175,      -13.91741912,      -14.33352532,      -14.90749578,      -12.86962418
          0,           0,         176,      -13.93914682,      -14.38480945,      -14.93557327,      -12.89135109
          0,           0,         177,       -13.9677035,      -14.38652158,        -14.967287,      -12.91990919
          0,           0,         178,      -13.99592738,      -14.42680929,      -14.99504605,      -12.94813226
          0,           0,         179,      -14.01786312,      -14.45654583,      -15.02368215,      -12.97006788
          0,           0,         180,      -14.04990082,      -14.46469279,      -15.05358202,      -13.00210516
          0,           0,         181,      -14.07250459,      -14.51735169,      -15.08039908,      -13.02471036
          0,           0,         182,       -14.0996357,      -14.52197727,      -15.10966077,      -13.05183948
          0,           0,         183,      -14.12918106,       -14.5560493,      -15.13672885,      -13.08138558
          0,           0,         184,      -14.15047505,      -14.59259077,      -15.16437277,      -13.10268128
          0,           0,         185,      -14.18215918,      -14.59652961,      -15.19293002,      -13.13436365
          0,           0,         186,       -14.2059204,      -14.64871283,      -15.21849474,      -13.15812453
          0,           0,         187,      -14.23159303,      -14.65789512,      -15.24734869,      -13.18379853
          0,           0,         188,      -14.26224614,      -14.68528167,      -15.27403389,      -13.21444792
          0,           0,         189,      -14.28326722,      -14.72788083,      -15.30034806,      -13.23547024
          0,           0,         190,      -14.31424733,      -14.72917722,      -15.32905377,      -13.26645247
          0,           0,         191,      -14.33936092,       -14.7791394,      -15.35447395,      -13.29156762
          0,           0,         192,      -14.36363921,      -14.79413863,       -15.3823761,       -13.3158439
          0,           0,         193,      -14.39510894,      -14.81479291,      -15.40937034,      -13.34731205
          0,           0,         194,        -14.416242,      -14.86228789,      -15.43538878,      -13.36844898
          0,           0,         195,      -14.44620772,      -14.86268297,      -15.46369539,      -13.39841218
          0,           0,         196,      -14.47277135,      -14.90883661,      -15.48898732,      -13.42497888
          0,           0,         197,      -14.49580982,      -14.93050607,      -15.51671171,      -13.44801251
          0,           0,         198,      -14.52775221,      -14.94480559,      -15.54368858,      -13.47995498
          0,           0,         199,      -14.54937689,       -14.9956854,      -15.56901071,      -13.50158249
          0,           0,         200,      -14.57809892,      -14.99702749,      -15.59757338,      -13.53030207
          0,           0,         201,      -14.60611262,      -15.03805882,      -15.62286206,      -13.55831477
          0,           0,         202,      -14.62815509,      -15.06673962,       -15.6498084,        -13.580364
          0,           0,         203,      -14.66018872,      -15.07551451,      -15.67724485,       -13.6123956
          0,           0,         204,      -14.68264658,      -15.12804989,      -15.70229421,      -13.63485071
          0,           0,         205,      -14.70996893,      -15.13211217,      -15.73056809,      -13.66217344
          0,           0,         206,      -14.73932893,      -15.16706132,      -15.75611184,      -13.69153459
          0,           0,         207,      -14.76068955,      -15.20263339,      -15.78266611,      -13.71289034
          0,           0,         208,      -14.79243493,      -15.20705343,      -15.81041521,      -13.74464144
          0,           0,         209,      -14.81601559,      -15.25939449,      -15.83521315,      -13.76821403
          0,           0,         210,      -14.84189463,      -15.26780421,      -15.86339924,      -13.79410162
          0,           0,         211,        -14.872395,      -15.29615196,      -15.88932764,      -13.82460248
          0,           0,         212,      -14.89343045,      -15.33791811,      -15.91528095,      -13.84563481
          0,           0,         213,      -14.92452879,      -15.33946176,      -15.94341083,      -13.87673067
          0,           0,         214,      -14.94943811,      -15.38982341,      -15.96821269,      -13.90165165
          0,           0,         215,      -14.97390357,      -15.40396006,      -15.99592118,      -13.92610757
          0,           0,         216,      -15.00527279,      -15.42551951,      -16.02233947,      -13.95747021
          0,           0,         217,      -15.02636346,        -15.472375,      -16.04789946,      -13.97857852
          0,           0,         218,      -15.05650266,      -15.47278746,      -16.07609213,      -14.00869007
          0,           0,         219,       -15.0828462,      -15.51957599,       -16.1010104,      -14.03505847
          0,           0,         220,      -15.10606476,      -15.54021391,      -16.12843153,      -14.05827549
          0,           0,         221,       -15.1379496,      -15.55545486,      -16.15528502,      -14.09015742
          0,           0,         222,      -15.15948297,      -15.60589293,      -16.18048331,      -14.11167409
          0,           0,         223,      -15.18840076,      -15.60698241,      -16.20875426,      -14.14062099
          0,           0,         224,      -15.21620711,      -15.64880816,      -16.23392052,      -14.16840467
          0,           0,         225,      -15.23837834,      -15.67649219,      -16.26081898,      -14.19056554
          0,           0,         226,      -15.27041492,      -15.68598552,      -16.28814396,      -14.22262909
          0,           0,         227,      -15.29272188,      -15.73837366,      -16.31312599,       -14.2449233
          0,           0,         228,      -15.32025401,      -15.74201266,       -16.3412847,      -14.27246812
          0,           0,         229,      -15.34940962,      -15.77778276,      -16.36681967,      -14.30161367
          0,           0,         230,      -15.37085258,      -15.81240884,      -16.39325154,      -14.32305768
          0,           0,         231,      -15.40266785,      -15.81733556,      -16.42094835,      -14.35486921
          0,           0,         232,      -15.42605798,      -15.86988997,      -16.44579055,      -14.37824302
          0,           0,         233,      -15.45214662,      -15.87741318,      -16.47387044,      -14.40436715
          0,           0,         234,      -15.48248485,       -15.9068545,      -16.49970318,      -14.43466652
          0,           0,         235,      -15.50351985,      -15.94775013,      -16.52566358,      -14.45575743
          0,           0,         236,      -15.53472549,      -15.94962787,      -16.55369499,      -14.48693353
          0,           0,         237,      -15.55941338,      -16.00045444,      -16.57838801,      -14.51161171
          0,           0,         238,      -15.58410356,      -16.01344974,      -16.60626737,      -14.53631648
          0,           0,         239,       -15.6153489,      -16.03619014,      -16.63247306,      -14.56755116
          0,           0,         240,       -15.6364141,      -16.08224457,      -16.65804964,      -14.58861678
          0,           0,         241,      -15.66671907,      -16.08274279,      -16.68618602,       -14.6189026
          0,           0,         242,      -15.69282741,       -16.1302357,      -16.71109806,      -14.64502851
          0,           0,         243,       -15.7161939,      -16.14974779,      -16.73860762,      -14.66838737
          0,           0,         244,      -15.74810246,      -16.16585062,      -16.76535489,      -14.70030527
          0,           0,         245,      -15.76947805,      -16.21614412,      -16.79067408,       -14.7217139
          0,           0,         246,      -15.79860003,      -16.21681702,      -16.81887123,      -14.75083006
          0,           0,         247,      -15.82619366,      -16.25957144,      -16.84405831,      -14.77840372
          0,           0,         248,      -15.84854535,      -16.28588424,      -16.87089636,      -14.80073122
          0,           0,         249,      -15.88049666,      -16.29647707,      -16.89809364,      -14.83275553
          0,           0,         250,      -15.90266774,      -16.34833132,      -16.92300697,      -14.85483529
          0,           0,         251,      -15.93046139,      -16.35149898,        -16.951254,      -14.88268355
          0,           0,         252,      -15.95938808,      -16.38842111,      -16.97641026,       -14.9116169
          0,           0,         253,      -15.98090776,      -16.42199694,      -17.00303439,      -14.93313409
          0,           0,         254,      -16.01274645,      -16.42756865,      -17.03052607,      -14.96486624
