"Pressure_Coefficient","Points:0","Points:1","Points:2"
0.43796,1.113,1.0767,-2.1798e-09
0.59,1.1121,1.0767,-0.00010273
0.98364,1.1102,1.0767,-0.00034455
-0.21119,0.70532,1.0767,-0.020686
-0.19453,0.69756,1.0767,-0.020141
-0.21318,0.70631,1.0767,-0.020753
-0.28271,0.80205,1.0767,-0.023899
-0.28284,0.80122,1.0767,-0.0239
0.5646,0.62467,1.0767,-0.0066983
0.59524,0.62392,1.0767,-0.0058298
0.5313,0.62509,1.0767,-0.0071056
0.45757,0.62588,1.0767,-0.0078343
0.65372,0.62358,1.0767,-0.0054264
0.77673,0.62305,1.0767,-0.0046208
0.24514,0.6276,1.0767,-0.0091126
0.26626,0.62724,1.0767,-0.0088633
0.34931,0.62673,1.0767,-0.0084707
-0.22217,0.87213,1.0767,0.022356
-0.21713,0.87563,1.0767,0.022196
-0.21292,0.8781,1.0767,0.02207
-0.23985,0.85684,1.0767,0.022986
-0.23553,0.86158,1.0767,0.022799
-0.23062,0.86622,1.0767,0.022621
-0.24469,0.84994,1.0767,0.023213
-0.24618,0.84768,1.0767,0.023286
0.66879,0.62159,1.0767,0
0.63973,0.62162,1.0767,0.00045647
0.59768,0.62165,1.0767,0.00093224
0.068265,0.62339,1.0767,0.0051664
-0.027739,0.62402,1.0767,0.0059449
-0.24667,0.84605,1.0767,0.023327
-0.18849,0.89167,1.0767,0.021348
-0.18763,0.89212,1.0767,0.021321
-0.18878,0.89151,1.0767,0.021356
-1.0631,0.74396,1.0767,0.022688
-1.0586,0.74623,1.0767,0.022774
-1.1154,0.63802,1.0767,0.013053
-1.1339,0.63986,1.0767,0.013433
-1.2299,0.64379,1.0767,0.014144
-0.10312,0.79063,1.0767,0.023829
-0.1514,0.79597,1.0767,0.023875
-1.213,0.6553,1.0767,0.015861
-1.2026,0.65834,1.0767,0.01627
-1.1774,0.66108,1.0767,0.016599
-1.2202,0.65082,1.0767,0.01523
-1.2264,0.64751,1.0767,0.014714
-1.1073,0.66653,1.0767,0.017271
-1.0515,0.67227,1.0767,0.017902
-1.0324,0.67511,1.0767,0.018198
-0.20738,0.80852,1.0767,0.023898
-0.22423,0.81393,1.0767,0.023881
-0.22904,0.81748,1.0767,0.023846
-0.2808,0.80942,1.0767,-0.023898
-0.27753,0.81658,1.0767,-0.023863
-0.17476,0.6887,1.0767,-0.019447
-0.15336,0.68036,1.0767,-0.018707
-0.063393,0.63688,1.0767,-0.012763
-0.037032,0.63553,1.0767,-0.012382
-0.10295,0.63769,1.0767,-0.012993
0.02071,0.63333,1.0767,-0.011803
-0.078582,0.64248,1.0767,-0.01391
-0.28122,0.76691,1.0767,-0.023412
-0.27911,0.76171,1.0767,-0.023281
-0.28175,0.76973,1.0767,-0.023486
-0.17615,0.68926,1.0767,-0.019496
-0.17555,0.68899,1.0767,-0.019473
-0.27118,0.82601,1.0767,-0.023759
-0.27643,0.81823,1.0767,-0.023846
-0.26531,0.83365,1.0767,-0.023627
-1.0426,0.75153,1.0767,0.022963
-0.85083,0.75587,1.0767,0.023097
0.55952,0.62174,1.0767,0.0014049
0.5328,0.62182,1.0767,0.0018592
0.57263,1.1121,1.0767,0.00010272
0.92717,1.1102,1.0767,0.00034455
0.69596,1.1069,1.0767,-0.00074619
0.28881,1.1023,1.0767,-0.0013192
0.3439,1.0981,1.0767,-0.0018341
0.40955,1.0935,1.0767,-0.0024145
-0.028971,0.9783,1.0767,0.014781
-0.024965,0.9807,1.0767,0.014568
-0.02344,0.9817,1.0767,0.014478
-0.045092,0.96855,1.0767,0.015639
-0.05701,0.96129,1.0767,0.016257
-0.062789,0.95769,1.0767,0.016566
-0.02008,0.98419,1.0767,0.014249
-0.0043544,0.99519,1.0767,0.013244
0.012564,1.0049,1.0767,0.012322
0.025508,1.0139,1.0767,0.011448
0.036689,1.0195,1.0767,0.010892
0.043047,1.0229,1.0767,0.010553
0.013784,1.0057,1.0767,0.012248
-0.082104,0.94729,1.0767,0.017423
-0.069576,0.95407,1.0767,0.016866
-0.13515,0.91913,1.0767,0.019571
-0.11999,0.92681,1.0767,0.019014
-0.1103,0.93179,1.0767,0.018637
-0.13705,0.91812,1.0767,0.019644
-0.13819,0.91754,1.0767,0.019683
-0.15329,0.90959,1.0767,0.02023
-0.10262,0.93552,1.0767,0.018356
0.081657,1.0402,1.0767,0.0087314
0.092134,1.0456,1.0767,0.0081361
0.057835,1.0324,1.0767,0.0095648
0.20003,1.0739,1.0767,0.0048249
0.20465,1.0744,1.0767,0.0047621
0.20403,1.0748,1.0767,0.0047183
0.14323,1.0657,1.0767,0.0058228
0.13587,1.0587,1.0767,0.0066386
0.17305,1.0835,1.0767,0.0036408
0.33684,1.0914,1.0767,0.0026742
0.35561,1.0921,1.0767,0.0025827
0.097045,1.049,1.0767,0.007751
0.12641,1.0559,1.0767,0.00697
0.13317,1.0577,1.0767,0.0067558
0.35147,1.093,1.0767,0.0024744
-0.1602,0.90776,1.0767,-0.020346
-0.1663,0.90428,1.0767,-0.020578
-0.17508,0.89931,1.0767,-0.020888
-0.15105,0.91296,1.0767,-0.020002
-0.13837,0.92034,1.0767,-0.019485
-0.13613,0.92164,1.0767,-0.019393
-0.18162,0.89557,1.0767,-0.021119
0.082942,1.0512,1.0767,-0.007504
0.066216,1.0434,1.0767,-0.0083826
0.046493,1.0353,1.0767,-0.0092547
0.13022,1.0606,1.0767,-0.0064245
0.088671,1.0527,1.0767,-0.0073297
0.085071,1.052,1.0767,-0.0074198
0.12992,1.0681,1.0767,-0.0055328
0.13192,1.0692,1.0767,-0.0054009
-0.21004,0.87813,1.0767,-0.022074
-0.223,0.86944,1.0767,-0.022481
-0.20991,0.87822,1.0767,-0.02207
-0.2323,0.86326,1.0767,-0.022735
-0.10444,0.94014,1.0767,-0.017995
-0.10606,0.93916,1.0767,-0.018071
-0.10331,0.9408,1.0767,-0.017941
0.14211,1.0703,1.0767,-0.0052605
0.22972,1.0778,1.0767,-0.0043534
-0.012729,1.0012,1.0767,-0.012678
-0.014664,0.99983,1.0767,-0.012809
-0.019077,0.99665,1.0767,-0.013104
0.045277,1.0348,1.0767,-0.0093132
-0.0010264,1.0095,1.0767,-0.011884
0.011071,1.0173,1.0767,-0.011112
0.15719,1.0861,1.0767,-0.0033276
0.15672,1.0848,1.0767,-0.0034908
-0.19586,0.88687,1.0767,-0.021617
-0.20971,0.87834,1.0767,-0.022064
-0.18589,0.89295,1.0767,-0.021267
-0.12133,0.93017,1.0767,-0.018764
-0.1345,0.92256,1.0767,-0.019324
-1.0309,0.67814,1.0767,0.018481
-1.0321,0.68373,1.0767,0.019017
-0.19534,0.8047,1.0767,0.023905
-0.17772,0.80152,1.0767,0.023893
-1.0435,0.68901,1.0767,0.01947
-1.0513,0.69237,1.0767,0.019745
-0.24983,0.8391,1.0767,0.023513
-0.24496,0.83169,1.0767,0.023668
-0.24495,0.83167,1.0767,0.023669
-0.17128,0.90077,1.0767,0.020801
-0.16506,0.90383,1.0767,0.020601
-0.23928,0.8234,1.0767,0.023795
-0.69567,0.76044,1.0767,0.023244
-0.20649,0.76676,1.0767,0.023414
-0.2036,0.88367,1.0767,0.02179
-0.076903,0.62452,1.0767,0.0065465
0.31704,0.62219,1.0767,0.0029806
0.27888,0.62246,1.0767,0.0035439
0.23319,0.62277,1.0767,0.004179
0.092442,0.62327,1.0767,0.0049706
-1.0314,0.63384,1.0767,0.011904
-1.0679,0.63564,1.0767,0.012486
0.43345,0.62197,1.0767,0.0023056
-0.040987,0.98167,1.0767,-0.014478
-0.047088,0.9776,1.0767,-0.014845
-0.031226,0.98806,1.0767,-0.013903
0.044069,1.0342,1.0767,-0.0093688
0.027937,1.0263,1.0767,-0.010201
0.013664,1.0188,1.0767,-0.010964
-0.028884,0.98996,1.0767,-0.013726
0.19059,1.0872,1.0767,-0.0031888
-0.23597,0.8607,1.0767,-0.022843
0.012315,1.0181,1.0767,-0.011034
0.30273,1.1013,1.0767,0.0014421
-0.24536,0.72748,1.0767,-0.021961
-0.23705,0.72146,1.0767,-0.021641
-0.24996,0.73059,1.0767,-0.022112
-0.23211,0.71776,1.0767,-0.021448
-0.22967,0.71639,1.0767,-0.021372
-0.21437,0.70715,1.0767,-0.020804
-0.25833,0.73648,1.0767,-0.022379
-0.26358,0.74145,1.0767,-0.022586
-0.2656,0.74354,1.0767,-0.022673
-0.24971,0.84847,1.0767,-0.023253
-0.25539,0.84331,1.0767,-0.023407
-0.26309,0.83602,1.0767,-0.02358
-0.24595,0.85201,1.0767,-0.023151
-0.2645,0.83464,1.0767,-0.023611
-0.28305,0.79142,1.0767,-0.023839
-0.28208,0.78564,1.0767,-0.023761
-0.28288,0.8,1.0767,-0.023894
-0.28159,0.78106,1.0767,-0.023707
-0.28162,0.77467,1.0767,-0.023587
-0.070709,0.64572,1.0767,-0.014431
-0.075122,0.64344,1.0767,-0.014084
-0.092419,0.66299,1.0767,-0.016851
-0.058927,0.65455,1.0767,-0.015761
-0.057079,0.65336,1.0767,-0.015598
-0.059522,0.65262,1.0767,-0.015483
-0.12744,0.67089,1.0767,-0.017751
-0.1314,0.6717,1.0767,-0.017847
-0.1338,0.67247,1.0767,-0.017927
-0.27715,0.81737,1.0767,-0.023857
0.77535,0.62275,1.0767,-0.0041541
0.73256,0.62228,1.0767,-0.0031831
0.73689,0.62219,1.0767,-0.0029804
0.73754,0.62207,1.0767,-0.0026141
0.75636,0.62185,1.0767,-0.0019527
0.71384,0.62174,1.0767,-0.0013938
0.6796,0.62165,1.0767,-0.00094092
-0.27423,0.75618,1.0767,-0.023118
-0.27415,0.75604,1.0767,-0.023113
-0.27098,0.74842,1.0767,-0.022852
0.056103,0.63238,1.0767,-0.011475
0.087702,0.63127,1.0767,-0.011019
0.11457,0.62978,1.0767,-0.010364
0.15472,0.6291,1.0767,-0.0099885
-1.0538,0.69593,1.0767,0.020007
-1.0575,0.70101,1.0767,0.02039
-0.08586,0.76842,1.0767,0.023456
-0.07949,0.76962,1.0767,0.023479
-1.0552,0.70405,1.0767,0.020601
-1.0484,0.71043,1.0767,0.021013
-0.053379,0.78395,1.0767,0.023742
-0.076851,0.78702,1.0767,0.023792
-0.0036099,0.77763,1.0767,0.023648
-0.24491,0.83163,1.0767,0.023669
-0.3364,0.62591,1.0767,0.0078618
-0.49225,0.62697,1.0767,0.0086604
-0.21893,0.62536,1.0767,0.0073422
-0.55376,0.62744,1.0767,0.0090059
-0.66575,0.62878,1.0767,0.0098155
-0.71788,0.6292,1.0767,0.010064
-0.83629,0.63036,1.0767,0.010622
-1.0253,0.72307,1.0767,0.021728
-1.0146,0.72761,1.0767,0.021968
-1.0185,0.73075,1.0767,0.02212
-1.0329,0.71898,1.0767,0.021516
-1.039,0.71616,1.0767,0.021357
-1.0192,0.73615,1.0767,0.022365
-1.0514,0.74175,1.0767,0.022595
0.68523,0.62162,1.0767,-0.00047375
-1.0005,0.63232,1.0767,0.011446
-0.93253,0.6315,1.0767,0.011134
0.053783,1.0311,1.0767,0.0096991
0.051657,1.0296,1.0767,0.0098552
0.013441,1.0054,1.0767,0.012276
-0.089165,0.9432,1.0767,0.017744
0.69227,1.1064,1.0767,0.00081761
-0.079758,0.95517,1.0767,-0.016773
-0.082367,0.95351,1.0767,-0.016913
-0.083808,0.95257,1.0767,-0.016991
-0.062532,0.96641,1.0767,-0.015824
-0.049412,0.97597,1.0767,-0.014987
-0.24033,0.85704,1.0767,-0.022975
